wt,A1_7,t,0.0,0.5,1.0,1.5,2.0,2.5,3.0
wt,A1_7,neurite_area,4497.4800000000005,14814.776000000002,23938.8944,44202.9248,57981.358400000005,71260.072,126341.5168
wt,A1_7,Norm_neurite_area,10.139246376811595,33.39885088566828,53.968521996779394,99.65232644122383,130.71481764895333,160.65072592592594,284.82789616747186
wt,A1_7,soma_count,324.0,350.0,390.0,518.0,459.0,473.0,591.0
wt,A1_8,t,0.0,0.5,1.0,1.5,2.0,2.5,3.0
wt,A1_8,neurite_area,6743.913600000001,15385.225600000002,23423.7984,45708.2352,53574.5968,75325.48640000001,108053.3024
wt,A1_8,Norm_neurite_area,19.64519151061174,44.81755272575947,68.23411935081148,133.14924943820225,156.06416046608408,219.4250540158136,314.7620128173117
wt,A1_8,soma_count,231.0,263.0,261.0,359.0,374.0,426.0,489.0
wt,A1_13,t,0.0,0.5,1.0,1.5,2.0,2.5,3.0
wt,A1_13,neurite_area,6685.4848,14393.4736,26602.017600000003,63845.7648,62392.732800000005,83407.11200000001,124651.6944
wt,A1_13,Norm_neurite_area,14.036710737852433,30.220250509898023,55.85306634673066,134.04929622075585,130.99853917216558,175.11991121775648,261.71621499700063
wt,A1_13,soma_count,301.0,326.0,359.0,661.0,496.0,595.0,596.0
wt,A1_18,t,0.0,0.5,1.0,1.5,2.0,2.5,3.0
wt,A1_18,neurite_area,5845.9552,13475.5264,24873.7552,52106.1888,65389.5152,79927.52320000001,133150.00960000002
wt,A1_18,Norm_neurite_area,12.222725925925928,28.17463703703704,52.00605925925926,108.94364444444446,136.71642962962963,167.11250370370374,278.39010370370374
wt,A1_18,soma_count,280.0,316.0,385.0,620.0,525.0,559.0,663.0
wt,A1_15,t,0.0,0.5,1.0,1.5,2.0,2.5,3.0
wt,A1_15,neurite_area,6368.7392,18195.9584,28994.523200000003,54101.9936,69261.19200000001,86446.94720000001,135507.1504
wt,A1_15,Norm_neurite_area,14.229548164698372,40.65487034790935,64.7818903287584,120.8790153846154,154.74891286307056,193.14670616022983,302.7609488669008
wt,A1_15,soma_count,340.0,381.0,364.0,527.0,521.0,460.0,540.0
wt,A1_14,t,0.0,0.5,1.0,1.5,2.0,2.5,3.0
wt,A1_14,neurite_area,6476.3712000000005,19455.2528,27905.902400000003,54926.1472,64834.441600000006,82369.232,116031.9088
wt,A1_14,Norm_neurite_area,15.940435443037977,47.88564331926864,68.68541378340366,135.1909389592124,159.57844275668074,202.7372095639944,285.5918992967651
wt,A1_14,soma_count,267.0,332.0,338.0,449.0,490.0,475.0,493.0
wt,A1_22,t,0.0,0.5,1.0,1.5,2.0,2.5,3.0
wt,A1_22,neurite_area,6613.2176,13117.2656,20320.9216,39882.268800000005,44156.7968,64894.408,107584.3344
wt,A1_22,Norm_neurite_area,22.4720986407767,44.57323262135922,69.05167533980583,135.52227262135924,150.0473677669903,220.51497864077672,365.57783533980586
wt,A1_22,soma_count,245.0,204.0,266.0,287.0,262.0,349.0,447.0
wt,A1_19,t,0.0,0.5,1.0,1.5,2.0,2.5,3.0
wt,A1_19,neurite_area,7445.059200000001,16709.0992,31865.2224,57584.657600000006,70251.4064,88126.0064,131924.5424
wt,A1_19,Norm_neurite_area,15.730580863265924,35.304465559915485,67.32766580138848,121.6699677633565,148.43339716269244,186.20043610021128,278.7418644129188
wt,A1_19,soma_count,333.0,338.0,384.0,592.0,588.0,512.0,566.0
wt,A1_24,t,0.0,0.5,1.0,1.5,2.0,2.5,3.0
wt,A1_24,neurite_area,3854.7632,13320.2288,21509.4864,45283.8576,59297.544,81149.9152,117112.8416
wt,A1_24,Norm_neurite_area,10.964381308411216,37.88768858187729,61.18098529053231,128.8041459569281,168.6642860625762,230.82056334823244,333.1125116619261
wt,A1_24,soma_count,265.0,258.0,294.0,360.0,343.0,445.0,496.0
wt,A1_9,t,0.0,0.5,1.0,1.5,2.0,2.5,3.0
wt,A1_9,neurite_area,4858.816,13221.8224,20004.176,44121.432,56397.6304,77868.6768,109746.2
wt,A1_9,Norm_neurite_area,13.480662703131191,36.68361347602061,55.5010828378914,122.4138026159334,156.47380610384462,216.0446839476813,304.4880697582244
wt,A1_9,soma_count,273.0,273.0,273.0,385.0,418.0,406.0,495.0
wt,A1_10,t,0.0,0.5,1.0,1.5,2.0,2.5,3.0
wt,A1_10,neurite_area,6856.1584,17081.1984,24895.2816,50313.3472,61008.8928,70422.08,108290.0928
wt,A1_10,Norm_neurite_area,17.351087780187996,43.22790629067245,63.00324338394794,127.32951207519883,154.39705336225597,178.219291395517,274.0530186550976
wt,A1_10,soma_count,314.0,321.0,307.0,456.0,473.0,381.0,514.0
wt,A1_12,t,0.0,0.5,1.0,1.5,2.0,2.5,3.0
wt,A1_12,neurite_area,5767.537600000001,18417.3728,25621.0288,54049.715200000006,58122.8176,79855.25600000001,120764.6416
wt,A1_12,Norm_neurite_area,13.732232380952382,43.85088761904762,61.00244952380952,128.6897980952381,138.38766095238097,190.13156190476192,287.53486095238094
wt,A1_12,soma_count,288.0,330.0,350.0,497.0,432.0,491.0,552.0
ko,B1_9,t,0.0,0.5,1.0,1.5,2.0,2.5,3.0
ko,B1_9,neurite_area,9711.4816,32403.3824,93522.9824,176868.59040000002,198819.368,196231.5872,210548.1808
ko,B1_9,Norm_neurite_area,20.59387191760073,68.71362520448349,198.32198630717969,375.0621426234474,421.6102926385944,416.12272353832174,446.48205561950925
ko,B1_9,soma_count,278.0,281.0,364.0,513.0,653.0,582.0,630.0
ko,B1_13,t,0.0,0.5,1.0,1.5,2.0,2.5,3.0
